Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_PrimerFase,,,,2021-07-27 10:46:46,2021-07-27 10:46:48,1.852s,FAILED
,,,,,,,
Test Cases/ANPR/PostConsultaGralXPlaca,,,,2021-07-27 10:46:46,2021-07-27 10:46:48,1.656s,FAILED
"response = sendRequest(findTestObject(""ANPR/PostConsultaGralXPlaca""))",,,,2021-07-27 10:46:47,2021-07-27 10:46:48,0.962s,PASSED
"if (verifyResponseStatusCodeInRange(response, 200, 204) == true)",,,,2021-07-27 10:46:48,2021-07-27 10:46:48,0.360s,PASSED
