Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementPropertyValue(response, ""[0].tiClaseTipo"", 71)",,,,2021-07-15 16:34:21,2021-07-15 16:34:21,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].vchSerie"", ""F25BKFA4903"")",,,,2021-07-15 16:34:21,2021-07-15 16:34:21,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].tiCilindros"", 0)",,,,2021-07-15 16:34:21,2021-07-15 16:34:21,0.016s,PASSED
"verifyElementPropertyValue(response, ""[0].vchNoMotor"", ""MOTORNO"")",,,,2021-07-15 16:34:21,2021-07-15 16:34:21,0.016s,PASSED
"verifyElementPropertyValue(response, ""[0].tiCombustible"", 77)",,,,2021-07-15 16:34:21,2021-07-15 16:34:21,0.017s,PASSED
"verifyElementPropertyValue(response, ""[0].tiTipoServicio"", 86)",,,,2021-07-15 16:34:21,2021-07-15 16:34:21,0.018s,PASSED
"verifyElementPropertyValue(response, ""[0].vchProcedencia"", ""NACIONAL"")",,,,2021-07-15 16:34:21,2021-07-15 16:34:21,0.018s,PASSED
"verifyElementPropertyValue(response, ""[0].dFechaExpedicion"", ""2021-07-15T00:00:00"")",,,,2021-07-15 16:34:21,2021-07-15 16:34:21,0.018s,PASSED
"verifyElementPropertyValue(response, ""[0].vchVigencia"", ""PERMANENTE"")",,,,2021-07-15 16:34:21,2021-07-15 16:34:22,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].tiTramite"", 2)",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].vchCalcomania"", """")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.016s,PASSED
"verifyElementPropertyValue(response, ""[0].vchUsoVehiculo"", ""01"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].iNumeroForma"", 12)",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].vchDescripcionForma"", ""TARJETA DE CIRCULACION"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.016s,PASSED
"verifyElementPropertyValue(response, ""[0].iFolio"", -1)",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.016s,PASSED
"verifyElementPropertyValue(response, ""[0].iIdEstatus"", 1)",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].vchEstatus"", ""REGISTRADO"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].vchNombreTramite"", ""SANTOS CAZARIN CRUZ DAVID ESTUARDO"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].vchIdentificacion"", ""I.F.E.                                  "")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].vchFolioIdentificacion"", ""NA"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].vchCalcomaniaAlfanumerica"", """")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].vchToneladas"", ""2500"")",,,,2021-07-15 16:34:22,2021-07-15 16:34:22,0.012s,PASSED
