Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_PrimerFase,,,,2021-07-26 12:43:52,2021-07-26 12:44:00,8.476s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferenciaAut,,,,2021-07-26 12:43:52,2021-07-26 12:43:54,1.658s,PASSED
operation = 21022144,,,,2021-07-26 12:43:52,2021-07-26 12:43:52,0.001s,PASSED
valor = 0,,,,2021-07-26 12:43:52,2021-07-26 12:43:52,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferenciaAut""))",,,,2021-07-26 12:43:52,2021-07-26 12:43:53,1.200s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-26 12:43:53,2021-07-26 12:43:54,0.111s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/setDesautorizacionReferencia,,,,2021-07-26 12:43:54,2021-07-26 12:43:55,1.720s,PASSED
operation = 21022164,,,,2021-07-26 12:43:54,2021-07-26 12:43:54,0.000s,PASSED
valor = 0,,,,2021-07-26 12:43:54,2021-07-26 12:43:54,0.004s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/setDesautorizacionReferencia""))",,,,2021-07-26 12:43:54,2021-07-26 12:43:54,0.278s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-26 12:43:54,2021-07-26 12:43:55,1.163s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferenciaAut,,,,2021-07-26 12:43:55,2021-07-26 12:43:56,0.337s,PASSED
operation = 21022144,,,,2021-07-26 12:43:55,2021-07-26 12:43:55,0.000s,PASSED
valor = 0,,,,2021-07-26 12:43:55,2021-07-26 12:43:55,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferenciaAut""))",,,,2021-07-26 12:43:55,2021-07-26 12:43:56,0.290s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-26 12:43:56,2021-07-26 12:43:56,0.042s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/setAutorizacionReferencia,,,,2021-07-26 12:43:56,2021-07-26 12:43:57,1.777s,PASSED
operation = 21022155,,,,2021-07-26 12:43:56,2021-07-26 12:43:56,0.001s,PASSED
valor = 0,,,,2021-07-26 12:43:56,2021-07-26 12:43:56,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/setAutorizacionReferencia""))",,,,2021-07-26 12:43:56,2021-07-26 12:43:56,0.297s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-26 12:43:56,2021-07-26 12:43:57,1.217s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferencia,,,,2021-07-26 12:43:57,2021-07-26 12:44:00,2.752s,PASSED
operation = 21022095,,,,2021-07-26 12:43:58,2021-07-26 12:43:58,0.004s,PASSED
valor = 0,,,,2021-07-26 12:43:58,2021-07-26 12:43:58,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferencia""))",,,,2021-07-26 12:43:58,2021-07-26 12:43:58,0.292s,PASSED
fecha = new java.util.Date(),,,,2021-07-26 12:43:58,2021-07-26 12:43:58,0.012s,PASSED
"hoy = fecha.format(""yyyy-MM-dd"") + ""T00:00:00""",,,,2021-07-26 12:43:58,2021-07-26 12:43:58,0.004s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-26 12:43:58,2021-07-26 12:44:00,2.200s,PASSED
