Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_PrimerFase,,,,2021-07-27 10:09:57,2021-07-27 10:10:09,12.329s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferenciaAut,,,,2021-07-27 10:09:57,2021-07-27 10:09:58,1.305s,PASSED
operation = 21022144,,,,2021-07-27 10:09:57,2021-07-27 10:09:57,0.001s,PASSED
valor = 0,,,,2021-07-27 10:09:57,2021-07-27 10:09:57,0.001s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferenciaAut""))",,,,2021-07-27 10:09:57,2021-07-27 10:09:58,0.890s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:09:58,2021-07-27 10:09:58,0.102s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/setDesautorizacionReferencia,,,,2021-07-27 10:09:58,2021-07-27 10:10:02,3.367s,PASSED
operation = 21022164,,,,2021-07-27 10:09:58,2021-07-27 10:09:58,0.000s,PASSED
valor = 0,,,,2021-07-27 10:09:58,2021-07-27 10:09:58,0.004s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/setDesautorizacionReferencia""))",,,,2021-07-27 10:09:58,2021-07-27 10:09:59,0.154s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:09:59,2021-07-27 10:10:02,2.952s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferenciaAut,,,,2021-07-27 10:10:02,2021-07-27 10:10:02,0.216s,PASSED
operation = 21022144,,,,2021-07-27 10:10:02,2021-07-27 10:10:02,0.000s,PASSED
valor = 0,,,,2021-07-27 10:10:02,2021-07-27 10:10:02,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferenciaAut""))",,,,2021-07-27 10:10:02,2021-07-27 10:10:02,0.165s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:10:02,2021-07-27 10:10:02,0.040s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/setAutorizacionReferencia,,,,2021-07-27 10:10:02,2021-07-27 10:10:05,3.112s,PASSED
operation = 21022155,,,,2021-07-27 10:10:02,2021-07-27 10:10:02,0.003s,PASSED
valor = 0,,,,2021-07-27 10:10:02,2021-07-27 10:10:02,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/setAutorizacionReferencia""))",,,,2021-07-27 10:10:02,2021-07-27 10:10:02,0.158s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:10:02,2021-07-27 10:10:05,2.733s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferencia,,,,2021-07-27 10:10:05,2021-07-27 10:10:09,4.066s,PASSED
operation = 21022095,,,,2021-07-27 10:10:05,2021-07-27 10:10:05,0.000s,PASSED
valor = 0,,,,2021-07-27 10:10:05,2021-07-27 10:10:05,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferencia""))",,,,2021-07-27 10:10:05,2021-07-27 10:10:05,0.168s,PASSED
fecha = new java.util.Date(),,,,2021-07-27 10:10:05,2021-07-27 10:10:05,0.001s,PASSED
"hoy = fecha.format(""yyyy-MM-dd"") + ""T00:00:00""",,,,2021-07-27 10:10:05,2021-07-27 10:10:05,0.004s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:10:05,2021-07-27 10:10:09,3.678s,PASSED
