Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_AutorizacionReferencia_SU,,,,2021-07-16 11:45:01,2021-07-16 11:45:12,10.690s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia_SU/setAutorizacionReferencia_SU,,,,2021-07-16 11:45:01,2021-07-16 11:45:05,3.623s,PASSED
operation = 21021291,,,,2021-07-16 11:45:02,2021-07-16 11:45:02,0.001s,PASSED
valor = 0,,,,2021-07-16 11:45:02,2021-07-16 11:45:02,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia_SU/setAutorizacionReferencia_SU""))",,,,2021-07-16 11:45:02,2021-07-16 11:45:02,0.958s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-16 11:45:02,2021-07-16 11:45:05,2.334s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia_SU/getConsultaReferenciaAut_SU,,,,2021-07-16 11:45:05,2021-07-16 11:45:08,2.768s,PASSED
operation = 21021254,,,,2021-07-16 11:45:05,2021-07-16 11:45:05,0.000s,PASSED
valor = 0,,,,2021-07-16 11:45:05,2021-07-16 11:45:05,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia_SU/getConsultaReferenciaAut_SU""))",,,,2021-07-16 11:45:05,2021-07-16 11:45:05,0.168s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-07-16 11:45:05,2021-07-16 11:45:05,0.012s,PASSED
"if (getElementPropertyValue(response, ""bResultado"") == true)",,,,2021-07-16 11:45:05,2021-07-16 11:45:08,2.324s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia_SU/getConsultaReferencia_SU,,,,2021-07-16 11:45:08,2021-07-16 11:45:12,4.095s,PASSED
operation = 21021208,,,,2021-07-16 11:45:08,2021-07-16 11:45:08,0.001s,PASSED
valor = 0,,,,2021-07-16 11:45:08,2021-07-16 11:45:08,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia_SU/getConsultaReferencia_SU""))",,,,2021-07-16 11:45:08,2021-07-16 11:45:08,0.176s,PASSED
fecha = new java.util.Date(),,,,2021-07-16 11:45:08,2021-07-16 11:45:08,0.002s,PASSED
"hoy = fecha.format(""yyyy-MM-dd"") + ""T00:00:00""",,,,2021-07-16 11:45:08,2021-07-16 11:45:08,0.004s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-16 11:45:08,2021-07-16 11:45:12,3.591s,PASSED
