Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SegundaFase,,,,2021-07-27 10:10:22,2021-07-27 10:10:35,12.917s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia_SU/getConsultaReferencia_SU,,,,2021-07-27 10:10:22,2021-07-27 10:10:34,11.517s,PASSED
operation = 21021588,,,,2021-07-27 10:10:23,2021-07-27 10:10:23,0.000s,PASSED
valor = 0,,,,2021-07-27 10:10:23,2021-07-27 10:10:23,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia_SU/getConsultaReferencia_SU""))",,,,2021-07-27 10:10:23,2021-07-27 10:10:24,0.843s,PASSED
fecha = new java.util.Date(),,,,2021-07-27 10:10:24,2021-07-27 10:10:24,0.007s,PASSED
"hoy = fecha.format(""yyyy-MM-dd"") + ""T00:00:00""",,,,2021-07-27 10:10:24,2021-07-27 10:10:24,0.002s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:10:24,2021-07-27 10:10:34,10.264s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/postFVCambioFolio,,,,2021-07-27 10:10:34,2021-07-27 10:10:34,0.427s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/postFVCambioFolio""))",,,,2021-07-27 10:10:34,2021-07-27 10:10:34,0.129s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:10:34,2021-07-27 10:10:34,0.037s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/postFVCambioFolioXCancelacion,,,,2021-07-27 10:10:34,2021-07-27 10:10:35,0.399s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/postFVCambioFolioXCancelacion""))",,,,2021-07-27 10:10:34,2021-07-27 10:10:35,0.126s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:10:35,2021-07-27 10:10:35,0.064s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/postFVActualizacionDts,,,,2021-07-27 10:10:35,2021-07-27 10:10:35,0.366s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/postFVActualizacionDts""))",,,,2021-07-27 10:10:35,2021-07-27 10:10:35,0.134s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:10:35,2021-07-27 10:10:35,0.036s,PASSED
