Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_SegundaFase,,,,2021-07-27 10:07:38,2021-07-27 10:07:52,14.050s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia_SU/getConsultaReferencia_SU,,,,2021-07-27 10:07:38,2021-07-27 10:07:51,12.581s,PASSED
operation = 21021588,,,,2021-07-27 10:07:39,2021-07-27 10:07:39,0.000s,PASSED
valor = 0,,,,2021-07-27 10:07:39,2021-07-27 10:07:39,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia_SU/getConsultaReferencia_SU""))",,,,2021-07-27 10:07:39,2021-07-27 10:07:40,0.873s,PASSED
fecha = new java.util.Date(),,,,2021-07-27 10:07:40,2021-07-27 10:07:40,0.006s,PASSED
"hoy = fecha.format(""yyyy-MM-dd"") + ""T00:00:00""",,,,2021-07-27 10:07:40,2021-07-27 10:07:40,0.002s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:07:40,2021-07-27 10:07:51,11.298s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/postFVCambioFolio,,,,2021-07-27 10:07:51,2021-07-27 10:07:52,0.465s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/postFVCambioFolio""))",,,,2021-07-27 10:07:51,2021-07-27 10:07:51,0.141s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:07:51,2021-07-27 10:07:52,0.042s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/postFVCambioFolioXCancelacion,,,,2021-07-27 10:07:52,2021-07-27 10:07:52,0.402s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/postFVCambioFolioXCancelacion""))",,,,2021-07-27 10:07:52,2021-07-27 10:07:52,0.134s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:07:52,2021-07-27 10:07:52,0.035s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/postFVActualizacionDts,,,,2021-07-27 10:07:52,2021-07-27 10:07:52,0.389s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/postFVActualizacionDts""))",,,,2021-07-27 10:07:52,2021-07-27 10:07:52,0.132s,PASSED
if (getResponseStatusCode(response) == 200),,,,2021-07-27 10:07:52,2021-07-27 10:07:52,0.052s,PASSED
