Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_PrimerFase,,,,2021-07-27 12:09:45,2021-07-27 12:09:46,1.809s,FAILED
,,,,,,,
Test Cases/ANPR/PostConsultaGralXPlaca,,,,2021-07-27 12:09:45,2021-07-27 12:09:46,1.603s,FAILED
"response = sendRequest(findTestObject(""ANPR/PostConsultaGralXPlaca""))",,,,2021-07-27 12:09:45,2021-07-27 12:09:46,0.879s,PASSED
"if (verifyResponseStatusCodeInRange(response, 200, 204) == true)",,,,2021-07-27 12:09:46,2021-07-27 12:09:46,0.358s,PASSED
