Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_AutorizacionReferencia,,,,2021-07-15 17:11:21,2021-07-15 17:11:29,8.086s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/setAutorizacionReferencia,,,,2021-07-15 17:11:21,2021-07-15 17:11:23,2.581s,PASSED
operation = 21021291,,,,2021-07-15 17:11:21,2021-07-15 17:11:21,0.001s,PASSED
valor = 0,,,,2021-07-15 17:11:21,2021-07-15 17:11:21,0.001s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/setAutorizacionReferencia""))",,,,2021-07-15 17:11:21,2021-07-15 17:11:22,0.971s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-07-15 17:11:22,2021-07-15 17:11:22,0.014s,PASSED
"if (getElementPropertyValue(response, ""bResultado"") == true)",,,,2021-07-15 17:11:22,2021-07-15 17:11:23,1.265s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferenciaAut,,,,2021-07-15 17:11:23,2021-07-15 17:11:25,2.035s,PASSED
operation = 21021254,,,,2021-07-15 17:11:24,2021-07-15 17:11:24,0.001s,PASSED
valor = 0,,,,2021-07-15 17:11:24,2021-07-15 17:11:24,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferenciaAut""))",,,,2021-07-15 17:11:24,2021-07-15 17:11:24,0.175s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-07-15 17:11:24,2021-07-15 17:11:24,0.001s,PASSED
"if (getElementPropertyValue(response, ""tiBandera"") == 2)",,,,2021-07-15 17:11:24,2021-07-15 17:11:25,1.585s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferencia,,,,2021-07-15 17:11:25,2021-07-15 17:11:29,3.259s,PASSED
operation = 21021208,,,,2021-07-15 17:11:26,2021-07-15 17:11:26,0.000s,PASSED
valor = 0,,,,2021-07-15 17:11:26,2021-07-15 17:11:26,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferencia""))",,,,2021-07-15 17:11:26,2021-07-15 17:11:26,0.179s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-07-15 17:11:26,2021-07-15 17:11:26,0.003s,PASSED
"if (getElementPropertyValue(response, ""[0].bResultado"") == true)",,,,2021-07-15 17:11:26,2021-07-15 17:11:29,2.848s,PASSED
