Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_FVAutorizacionesReferencia,,,,2021-07-15 15:53:22,2021-07-15 15:53:26,3.953s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferenciaAut,,,,2021-07-15 15:53:22,2021-07-15 15:53:24,1.660s,PASSED
operation = 21021254,,,,2021-07-15 15:53:22,2021-07-15 15:53:22,0.000s,PASSED
valor = 0,,,,2021-07-15 15:53:22,2021-07-15 15:53:22,0.000s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferenciaAut""))",,,,2021-07-15 15:53:22,2021-07-15 15:53:23,0.898s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-07-15 15:53:23,2021-07-15 15:53:23,0.012s,PASSED
"verifyElementPropertyValue(response, ""bResultado"", true)",,,,2021-07-15 15:53:23,2021-07-15 15:53:23,0.046s,PASSED
"verifyElementPropertyValue(response, ""dFechaEmision"", ""2021-07-09T00:00:00"")",,,,2021-07-15 15:53:23,2021-07-15 15:53:23,0.017s,PASSED
"verifyElementPropertyValue(response, ""dFechaVigencia"", ""2021-07-09T00:00:00"")",,,,2021-07-15 15:53:23,2021-07-15 15:53:23,0.018s,PASSED
"verifyElementPropertyValue(response, ""iError"", 0)",,,,2021-07-15 15:53:23,2021-07-15 15:53:23,0.018s,PASSED
"for ([i = operation, i <= getElementPropertyValue(response, ""iNoOperacionModificacion""), (i++)])",,,,2021-07-15 15:53:23,2021-07-15 15:53:23,0.136s,PASSED
"verifyElementPropertyValue(response, ""iNoOperacionModificacion"", valor)",,,,2021-07-15 15:53:23,2021-07-15 15:53:23,0.019s,PASSED
"verifyElementPropertyValue(response, ""mTotalReferencia"", 1659.0000)",,,,2021-07-15 15:53:23,2021-07-15 15:53:24,0.028s,PASSED
"verifyElementPropertyValue(response, ""tiBandera"", 2)",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.015s,PASSED
"verifyElementPropertyValue(response, ""tiEstatusAutorizacion"", 1)",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.015s,PASSED
"verifyElementPropertyValue(response, ""tiEstatusReferencia"", 1)",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.015s,PASSED
"verifyElementPropertyValue(response, ""vchDescEstatusRef"", ""EMITIDO"")",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.015s,PASSED
"verifyElementPropertyValue(response, ""vchDescEtatusAut"", ""AUTORIZADA"")",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.015s,PASSED
"verifyElementPropertyValue(response, ""vchMensaje"", ""Los datos se consultaron exitosamente"")",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.015s,PASSED
"verifyElementPropertyValue(response, ""vchMensajeLog"", """")",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.015s,PASSED
"verifyElementPropertyValue(response, ""vchNombre"", ""SANTOS CAZARIN CRUZ DAVID ESTUARDO"")",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.016s,PASSED
"verifyElementPropertyValue(response, ""vchReferencia"", ""11125120071631703225"")",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.018s,PASSED
,,,,,,,
Test Cases/FVAutorizacionesReferencia/getConsultaReferencia,,,,2021-07-15 15:53:24,2021-07-15 15:53:26,2.067s,PASSED
operation = 21021208,,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.000s,PASSED
valor = 0,,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.001s,PASSED
"response = sendRequest(findTestObject(""FVAutorizacionesReferencia/getConsultaReferencia""))",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.177s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.001s,PASSED
"verifyElementPropertyValue(response, ""[0].bResultado"", true)",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.017s,PASSED
"verifyElementPropertyValue(response, ""[0].vchMensaje"", ""Consulta de referencia correcta"")",,,,2021-07-15 15:53:24,2021-07-15 15:53:24,0.016s,PASSED
"for ([i = operation, i <= getElementPropertyValue(response, ""[0].iNoOperacionModificacion""), (i++)])",,,,2021-07-15 15:53:24,2021-07-15 15:53:25,0.790s,PASSED
"verifyElementPropertyValue(response, ""[0].iNoOperacionModificacion"", valor)",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].iError"", 0)",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].vchReferencia"", 11125120071631703225)",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].tiOficina"", 0)",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].vchOficina"", ""PUEBLA I FINANZAS"")",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.013s,PASSED
"verifyElementPropertyValue(response, ""[0].smTipoMovimiento"", 1)",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.016s,PASSED
"verifyElementPropertyValue(response, ""[0].vchMovimiento"", ""ALTA VEHICULO"")",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].iNoOperacion"", 21019796)",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].iControl"", 200002523)",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].vchPlaca"", ""13DGS2"")",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.012s,PASSED
"verifyElementPropertyValue(response, ""[0].vchNombre"", ""SANTOS CAZARIN CRUZ DAVID ESTUARDO"")",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.016s,PASSED
"verifyElementPropertyValue(response, ""[0].vchRFC"", ""SACC790503PC6"")",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].iModelo"", 2020)",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].tiClaseTipo"", 71)",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.014s,PASSED
"verifyElementPropertyValue(response, ""[0].vchSerie"", ""F25BKFA4903"")",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].tiCilindros"", 0)",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.015s,PASSED
"verifyElementPropertyValue(response, ""[0].vchNoMotor"", ""MOTORNO"")",,,,2021-07-15 15:53:25,2021-07-15 15:53:25,0.017s,PASSED
